config,n_windows,youden_good_cut,youden_good_ci_lo,youden_good_ci_hi,auc_good,youden_poor_cut,youden_poor_ci_lo,youden_poor_ci_hi,auc_poor,pct33,pct67,pct33_in_good_ci,pct67_in_poor_ci
12.8s context + 2s horizon,852,0.3964666426181793,0.2735514938831329,0.5790589451789856,0.5527573529411764,0.5134084224700928,0.2771972119808197,0.5819995403289795,0.6291060057785631,0.293518582979838,0.4841474692026773,True,True
10s context + 2s horizon,886,0.3347866237163543,0.2839652597904205,0.5537856817245483,0.6013059701492538,0.3355296850204468,0.2890669703483581,0.4742391705513,0.6500750289884728,0.2940100431442261,0.5076189637184143,True,False
6s context + 2s horizon,905,0.3285096883773803,0.3178357183933258,0.5222193002700806,0.6231770408994624,0.4492407143115997,0.3605825901031494,0.5758938193321228,0.6451981344585807,0.3097467521826426,0.49235444267590833,False,True
6s context + 6s horizon,886,0.3465210497379303,0.303739845752716,0.422644555568695,0.6066044776119404,0.4488048553466797,0.3571101129055023,0.6087520122528076,0.6389741491030625,0.3023140728473663,0.4687485694885254,False,True
