config,context_samples,horizon_samples,context_sec,horizon_sec,filename,window_end_sec,cardiac_hr_snr,hr_bpm,nrmse_chronos,latency_ms
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,43.0,0.0,60.0,0.5764289498329163,429.4981000002736
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,48.0,0.0,60.0,0.5237192511558533,552.0768999995198
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,53.0,0.0,60.0,0.8002133369445801,407.4416999992536
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,58.0,0.0,60.0,0.3821999430656433,434.0486000000965
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,63.0,0.0154189491179287,90.0,0.4317187368869781,421.5197000003173
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,68.0,0.0162181038601368,75.0,1.096918702125549,427.57330000040383
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,73.0,0.216462186976534,60.0,0.4272721707820892,414.1147999998793
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,78.0,0.3654947742673062,60.0,0.2374069541692733,416.502600000058
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,83.0,0.3999786899376228,60.0,0.339108943939209,412.40730000026815
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,88.0,0.4083605794515313,60.0,0.504655659198761,413.26870000011695
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,93.0,0.0643399359491695,60.0,0.6050516963005066,428.0966999995144
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,98.0,0.0813872426582403,60.0,0.866982102394104,413.0617999999231
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,103.0,0.1358941168612353,75.0,0.4457059204578399,435.3006999999707
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,108.0,0.0,60.0,0.6727060079574585,410.6745999997656
6s context + 2s horizon,60,20,6.0,2.0,B_C_B_C_B_isometric_2.txt,113.0,0.0,60.0,0.6795271039009094,410.03939999973227
