config,context_sec,horizon_sec,n_windows,median_nrmse,iqr_lo,iqr_hi,auc_good,auc_poor,auc_mean,spearman_rho,spearman_p,cut_33,cut_67,median_latency_ms
6s context + 2s horizon,6.0,2.0,905,0.387040227651596,0.2778989374637604,0.5699159502983093,0.6231770408994624,0.6451981344585807,0.6341875876790215,-0.27045863369775547,1.2337074453891675e-16,0.3097467521826426,0.49235444267590833,416.1859000005279
10s context + 2s horizon,10.0,2.0,886,0.39253163337707514,0.26126568764448166,0.5725391358137131,0.6013059701492538,0.6500750289884728,0.6256904995688632,-0.2520483228697592,2.6350349286389416e-14,0.2940100431442261,0.5076189637184143,467.02454999967813
6s context + 6s horizon,6.0,6.0,886,0.37225261330604553,0.271701417863369,0.5527042895555496,0.6066044776119404,0.6389741491030625,0.6227893133575014,-0.25376409371564324,1.7376411708687135e-14,0.3023140728473663,0.4687485694885254,1313.662099999874
12.8s context + 2s horizon,12.8,2.0,852,0.3767346739768982,0.260587640106678,0.5746008902788162,0.5527573529411764,0.6291060057785631,0.5909316793598698,-0.19691062054110392,6.790249273548867e-09,0.293518582979838,0.4841474692026773,504.43635000010545
