filename,window_end_sec,cardiac_hr_snr,hr_bpm,nrmse_chronos,nrmse_timesfm,latency_chronos_ms,latency_timesfm_ms
B_C_B_C_B_isometria.txt,8.0,0.28536912064446834,60.0,0.7350766062736511,0.4430690407752991,715.5357000001459,663.4160000003249
B_C_B_C_B_isometria.txt,13.0,0.3201322791060117,75.0,0.5158055424690247,0.4949794113636017,722.0022999999856,676.6213000000789
B_C_B_C_B_isometria.txt,18.0,0.16634835503982734,75.0,0.3588907718658447,0.700532078742981,690.3002999997625,641.163699999197
B_C_B_C_B_isometria.txt,23.0,0.2116432810189735,60.0,0.4097830057144165,0.2950267493724823,716.1273000001529,638.8286000001244
B_C_B_C_B_isometria.txt,28.0,0.3797343826658099,60.0,0.1999485045671463,0.2823095917701721,725.5841999995027,629.8514999998588
B_C_B_C_B_isometria.txt,33.0,0.014736504303626807,75.0,1.0898243188858032,1.313445806503296,708.1217999993896,633.8544999998703
B_C_B_C_B_isometria.txt,38.0,0.030993813307787773,90.0,0.6942887306213379,1.098968505859375,747.7238000001307,639.6727999999712
B_C_B_C_B_isometria.txt,43.0,0.09721340397099609,60.0,0.39915984869003296,0.641398012638092,755.6609000002936,617.2333999993498
B_C_B_C_B_isometria.txt,48.0,0.06857965622326598,75.0,1.375705361366272,0.5819950103759766,808.2035999996151,609.488600000077
B_C_B_C_B_isometria.txt,53.0,0.0970012817664848,60.0,0.8708345293998718,0.9123799204826355,772.1987999993871,628.4163999998782
B_C_B_C_B_isometria.txt,58.0,0.15202757606304715,90.0,0.5367017984390259,0.3583087921142578,746.8266999994739,562.3380000006364
B_C_B_C_B_isometria.txt,63.0,0.018720485366217152,60.0,0.7848005890846252,0.8885712623596191,792.7041000002646,577.2354999999152
B_C_B_C_B_isometria.txt,68.0,0.013734691256339733,75.0,0.2106044441461563,0.31799453496932983,815.8831999999165,544.2001999999775
B_C_B_C_B_isometria.txt,73.0,0.3032301364875513,75.0,0.5822524428367615,0.7087283134460449,791.7379000000437,553.0729000001884
B_C_B_C_B_isometria.txt,78.0,0.3198530401139514,75.0,0.44867217540740967,0.4865209460258484,807.7525999997306,552.1429000000353
B_C_B_C_B_isometria.txt,83.0,0.6029753207907667,75.0,0.26301535964012146,0.49402502179145813,831.1099000002287,549.614699999438
B_C_B_C_B_isometria.txt,88.0,0.6552034880223321,75.0,0.1800224781036377,0.12592123448848724,852.9533000000811,506.7583999998533
B_C_B_C_B_isometria.txt,93.0,0.014396019948830855,60.0,0.5597856044769287,4.71367883682251,823.0776999998852,511.5112000003137
B_C_B_C_B_isometria.txt,98.0,0.23912423927592505,90.0,0.509293258190155,0.3378613293170929,831.7141000006814,492.7938000000722
B_C_B_C_B_isometria.txt,103.0,0.3418602512794008,75.0,0.2909955084323883,0.4475579857826233,896.1987000002409,471.70829999959096
B_C_B_C_B_isometria.txt,108.0,0.313441111013723,90.0,0.6175994873046875,0.6158702373504639,1196.5071000004173,482.73280000012164
B_C_B_C_B_isometria.txt,113.0,0.21129042110460702,75.0,0.35461682081222534,0.5972470045089722,913.519499999893,463.2932000004075
B_C_B_C_B_isometria.txt,118.0,0.39575853014183365,75.0,0.45044413208961487,0.591191291809082,864.1973000003418,473.6437000001388
B_C_B_C_B_isometria.txt,123.0,0.026170140912627333,75.0,0.15248318016529083,0.5618873834609985,897.6864000005662,462.1426000003339
B_C_B_C_B_isometria.txt,128.0,0.15457402143648294,75.0,0.2691158950328827,0.2038506716489792,866.2229999999909,462.52110000023094
B_C_B_C_B_isometria.txt,133.0,0.5816403893962208,75.0,0.24995438754558563,0.23600627481937408,854.9752999997509,459.5534999998563
B_C_B_C_B_isometria.txt,138.0,0.5966884836902057,60.0,0.2754448652267456,0.390506386756897,958.5230000002412,479.796499999793
B_C_B_C_B_isometria.txt,143.0,0.3310577330247262,75.0,0.21465112268924713,0.16826200485229492,1062.6172000002043,538.8281000005009
B_C_B_C_B_isometria.txt,148.0,0.36345675327436106,75.0,0.7796307802200317,0.43467259407043457,1020.9217999999964,501.61859999934677
B_C_B_C_B_isometric_2.txt,8.0,0.47606239322650334,60.0,0.9140676259994507,0.6375564932823181,1001.5902999994069,513.3181999999579
B_C_B_C_B_isometric_2.txt,13.0,0.25622225130176635,60.0,0.3080614507198334,0.33548417687416077,912.2950000000856,494.6872999998959
B_C_B_C_B_isometric_2.txt,18.0,0.278725593883755,60.0,0.2981654107570648,0.46028316020965576,1100.981800000227,525.6376999996064
B_C_B_C_B_isometric_2.txt,23.0,0.3246895225575265,75.0,0.5153775811195374,0.37301671504974365,925.3865000000587,518.4771999993245
B_C_B_C_B_isometric_2.txt,28.0,0.4219481265397361,60.0,0.30266478657722473,0.49170559644699097,963.1921999998667,515.202199999294
B_C_B_C_B_isometric_2.txt,33.0,0.023517996770897828,60.0,0.6943403482437134,0.6894122958183289,1091.964100000041,526.2530999998489
B_C_B_C_B_isometric_2.txt,38.0,0.018217062717599597,60.0,0.9065832495689392,0.8041055798530579,952.3979000005056,549.0005999999994
B_C_B_C_B_isometric_2.txt,43.0,0.0,60.0,0.6115236282348633,0.6041013598442078,958.4002999999939,571.9343999999182
B_C_B_C_B_isometric_2.txt,48.0,0.0,60.0,0.5629473924636841,0.44059374928474426,901.6211999996813,571.5241999996579
B_C_B_C_B_isometric_2.txt,53.0,0.0,60.0,0.6706329584121704,0.6764495968818665,941.2690999997722,523.0181000006269
B_C_B_C_B_isometric_2.txt,58.0,0.0,60.0,0.3821999430656433,0.502157986164093,970.4976000002716,584.8393999995096
B_C_B_C_B_isometric_2.txt,63.0,0.0154189491179287,90.0,0.43614718317985535,0.37108924984931946,890.9742999994705,538.4077999997317
B_C_B_C_B_isometric_2.txt,68.0,0.016218103860136855,75.0,1.1778274774551392,0.7375341057777405,952.0792999992409,559.0035000004718
B_C_B_C_B_isometric_2.txt,73.0,0.216462186976534,60.0,0.29866766929626465,0.09991435706615448,901.6094999997222,531.443500000023
B_C_B_C_B_isometric_2.txt,78.0,0.3654947742673062,60.0,0.17751426994800568,0.30236271023750305,924.5295000000624,554.2438000002221
B_C_B_C_B_isometric_2.txt,83.0,0.3999786899376228,60.0,0.3773818612098694,0.40147387981414795,909.8076000000219,621.3812999994843
