filename,start_time,duration_sec,window_end_sec,cardiac_hr_snr,hr_bpm,nrmse_chronos,nrmse_timesfm,latency_chronos_ms,latency_timesfm_ms
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,19.8,0.2198280459850877,75.0,0.7915694117546082,636.8400268554688,573.8766999857035,289.1539999982342
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,24.8,0.20374186397347527,75.0,0.3509267568588257,1248145792.0,573.1515999941621,294.30239999783225
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,29.8,0.25250454265735656,60.0,0.12677738070487976,727.2651977539062,603.9061999763362,259.47330001508817
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,34.8,0.022488005171651292,60.0,1.8057681322097778,100473880.0,584.0442999906372,268.8137000077404
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,39.8,0.017579997332191392,75.0,0.7459335327148438,41504176.0,658.2340000022668,308.1002999970224
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,44.8,0.03829943087824762,60.0,0.6668657064437866,3044.896240234375,604.6260000148322,275.4821999988053
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,49.8,0.0939214521995688,60.0,0.7808669805526733,225.6371307373047,565.1548000168987,283.54800000670366
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,54.8,0.07783905586015291,60.0,0.9499199390411377,425.0023193359375,527.9006000200752,270.5485999758821
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,59.8,0.11324635449195872,60.0,0.5786476135253906,204.6595916748047,676.6694999823812,304.69069999526255
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,64.8,0.03279135771099236,60.0,0.1796177327632904,296.0904541015625,546.723799983738,256.32869999390095
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,69.8,0.022947757352784856,60.0,0.6166952252388,85.05953216552734,567.5672000215854,247.93370001134463
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,74.8,0.014328957620954052,75.0,0.5515516996383667,5875.646484375,533.7637000193354,214.86649999860674
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,79.8,0.2937996261118308,75.0,0.39852556586265564,1165.3013916015625,534.0512999973726,254.6736000222154
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,84.8,0.4104824722883003,75.0,0.5282883644104004,616.4099731445312,599.666399997659,307.4351000250317
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,89.8,0.626789861421025,75.0,0.46357494592666626,502.1577453613281,560.6561999884434,272.6642999914475
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,94.8,0.01908337969299952,60.0,0.6830965280532837,88.7955551147461,557.7745999908075,269.04470002045855
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,99.8,0.01794362795944292,60.0,0.7306556105613708,36.88438415527344,573.6535000032745,258.2325999974273
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,104.8,0.15402811539518438,75.0,0.4315989315509796,3458.122802734375,539.9847000080626,266.20050001656637
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,109.8,0.28301788815695433,75.0,0.18238283693790436,248.7310333251953,718.2527999975719,415.9071999893058
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,114.8,0.3114408963991285,90.0,0.2779170870780945,426.5578918457031,717.8180000046268,307.9278999939561
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,119.8,0.3089635705909383,75.0,0.3287237882614136,398.5414733886719,835.919399978593,328.0754000006709
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,124.8,0.0868085054480878,75.0,0.41669610142707825,242.5979461669922,671.6676999931224,316.71970000024885
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,129.8,0.04611487712954808,75.0,0.33989575505256653,862.6229858398438,694.8636999877635,332.6879999949597
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,134.8,0.15548921605877183,75.0,0.3404099941253662,7066.77734375,805.0636000116356,391.2436999962665
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,139.8,0.5619339015821015,75.0,0.30573099851608276,1005.7929077148438,811.4832999999635,321.61339998128824
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,144.8,0.49706979258481626,75.0,0.318232923746109,674.8641967773438,664.289500011364,267.1601999900304
B_C_B_C_B_isometria.txt,10:27:13.4,150.298,149.8,0.3359595151936049,75.0,0.3329851031303406,377.5041809082031,575.3808000008576,266.84400002704933
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,19.8,0.25718633027577725,60.0,0.3151942491531372,876853120.0,620.021499984432,342.2603000071831
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,24.8,0.3060754671112365,60.0,0.4074512720108032,815.7588500976562,644.6642999944743,345.6290999893099
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,29.8,0.36752129545418727,60.0,0.25218719244003296,1255.2310791015625,655.2172999945469,268.2785000069998
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,34.8,0.02023649228259982,60.0,0.6835290193557739,159623248.0,635.2668000035919,251.27300000167452
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,39.8,0.022366279215391992,60.0,4.420013904571533,16507177984.0,571.2844999798108,237.71950000082143
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,44.8,0.02020686946308862,60.0,0.5845662951469421,9942.5849609375,564.9829000176396,239.3140000058338
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,49.8,0.0,60.0,0.7932121753692627,1324.2659912109375,576.2905000010505,242.2734000138007
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,54.8,0.0,60.0,0.7102305293083191,3617.25,656.4074999769218,321.8635999946855
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,59.8,0.0,60.0,0.7106165289878845,1414.31494140625,634.0504999971017,251.9687000021804
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,64.8,0.01033724922475401,90.0,0.33659297227859497,157.9014129638672,605.3710999840405,259.0169000031892
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,69.8,0.01613733568947806,75.0,0.7403565645217896,51.22473907470703,702.5809999904595,277.67929999390617
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,74.8,0.026682042803808374,75.0,0.19686472415924072,2726.52392578125,620.6923999998253,356.9464999891352
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,79.8,0.2519307332383741,60.0,0.4333491623401642,1570.6651611328125,657.682199991541,263.7301000067964
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,84.8,0.38204710665367025,60.0,0.8293884992599487,2080.789306640625,641.3159999938216,344.2534999921918
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,89.8,0.3952523446962526,60.0,0.30817660689353943,2515.9287109375,802.9067000024952,505.43930000276305
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,94.8,0.07493381001670424,60.0,0.5351313948631287,19.403423309326172,658.2689999777358,231.49080001167022
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,99.8,0.1225979498325141,60.0,1.0848331451416016,42.1192741394043,563.7872999941465,257.33669998589903
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,104.8,0.07610794201861928,60.0,2.0258827209472656,7661.1630859375,595.5433000053745,250.59870001859963
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,109.8,0.11868710886106044,75.0,0.34032800793647766,1173.533447265625,586.4816999819595,245.96699999528937
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,114.8,0.0,60.0,0.5862958431243896,807.4215698242188,599.1248000063933,245.1405000174418
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,119.8,0.0,60.0,1.0453606843948364,919.3740844726562,599.9222999962512,243.42699997941963
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,124.8,0.008874025636602955,60.0,0.48204943537712097,181.734375,581.8810999917332,251.23369999346323
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,129.8,0.020685071876580904,75.0,0.4910818338394165,292.7898254394531,657.965200021863,374.5934999897145
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,134.8,0.018751154092955028,60.0,0.18712006509304047,6407.39599609375,699.9651000078302,299.5183999883011
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,139.8,0.2333803696681772,75.0,0.14415836334228516,238.4767303466797,693.9879000128713,250.47679999261163
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,144.8,0.27486757985383536,60.0,0.6491140723228455,4432.9658203125,727.1717999828979,346.45240000099875
B_C_B_C_B_isometric_2.txt,11:8:12.768,151.198,149.8,0.49167190259253246,60.0,0.3830208480358124,1037.9241943359375,769.3551999982446,301.4809000014793
Baseline_isometrico_baseline.txt,15:57:24.54,61.348,19.8,0.004940068240419683,60.0,0.5198262929916382,343.6524963378906,668.4083000000101,360.04259999026544
Baseline_isometrico_baseline.txt,15:57:24.54,61.348,24.8,0.01536228027364586,60.0,0.6493273973464966,257.118896484375,726.7323000123724,384.37690000864677
Baseline_isometrico_baseline.txt,15:57:24.54,61.348,29.8,0.019249377128477456,60.0,0.6327474117279053,505.6800842285156,608.7285999965388,331.38570000301115
Baseline_isometrico_baseline.txt,15:57:24.54,61.348,34.8,0.048027279673149896,75.0,0.4592592418193817,1479.0740966796875,733.345000015106,244.67479999293573
Baseline_isometrico_baseline.txt,15:57:24.54,61.348,39.8,0.06264150643940919,60.0,0.28080642223358154,1204.61669921875,788.587400020333,349.18869999819435
Baseline_isometrico_baseline.txt,15:57:24.54,61.348,44.8,0.047766650329700296,75.0,0.24530808627605438,631.5653686523438,650.618099985877,251.68740001390688
Baseline_isometrico_baseline.txt,15:57:24.54,61.348,49.8,0.020153783358613047,75.0,0.2734141945838928,311.052734375,752.422799996566,381.4274999895133
Baseline_isometrico_baseline.txt,15:57:24.54,61.348,54.8,0.017157029350785304,75.0,0.6570981740951538,6147.84033203125,1688.215800008038,648.7647000176366
Baseline_isometrico_baseline.txt,15:57:24.54,61.348,59.8,0.01325725876260364,75.0,0.2640518546104431,317.63623046875,1140.1388999947812,795.8285000058822
Branco_BDireito.txt,12:27:42.301,421.048,19.8,0.0847989173391294,60.0,1.1014118194580078,331161440.0,828.2847999944352,287.7046999929007
Branco_BDireito.txt,12:27:42.301,421.048,24.8,0.14215205717975055,60.0,0.5438043475151062,390.4415588378906,593.823400005931,268.3152999961749
Branco_BDireito.txt,12:27:42.301,421.048,29.8,0.11027281799521749,60.0,0.258972704410553,190.85252380371094,597.5539999781176,305.5285000009462
Branco_BDireito.txt,12:27:42.301,421.048,34.8,0.14344166539031702,60.0,0.33492130041122437,873.0967407226562,683.6273999942932,359.6959999995306
Branco_BDireito.txt,12:27:42.301,421.048,39.8,0.1239597156537833,60.0,0.715331494808197,300.4996643066406,719.3905000167433,372.17310001142323
Branco_BDireito.txt,12:27:42.301,421.048,44.8,0.11673350163380013,60.0,0.8579760193824768,395.96063232421875,713.5726000124123,341.8622999743093
Branco_BDireito.txt,12:27:42.301,421.048,49.8,0.15968642339460049,60.0,0.28566262125968933,249.5588836669922,795.8113999920897,313.7098999868613
Branco_BDireito.txt,12:27:42.301,421.048,54.8,0.10025674307282921,60.0,0.7241499423980713,617.1889038085938,684.9498999945354,367.225399997551
Branco_BDireito.txt,12:27:42.301,421.048,59.8,0.12742269015251692,60.0,0.27088654041290283,444.4225158691406,625.032599986298,274.13809997960925
